,max,mean,median,min,rmse,sse,std
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_00:12:48/rpe_eval/rpe_results.zip,9.571471116189208,1.4300409622071708,1.1874430356511472,0.011790205566656588,1.6767259029413382,10652.431556369354,0.8754385186887966
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_00:20:49/rpe_eval/rpe_results.zip,40.43846395348749,1.344995577102992,1.1898760430694502,0.08964228596650363,1.9326634308298514,15303.064977344146,1.3878670089170653
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_00:28:48/rpe_eval/rpe_results.zip,10.918461944672355,1.43340167772875,1.1925195640246007,0.021841982963551224,1.6820769283937662,10709.213871635988,0.8801945372013003
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_00:36:47/rpe_eval/rpe_results.zip,9.577194837887225,1.2818638622051872,1.1929727596545743,0.08267355306022445,1.4661550595046697,8794.05720396908,0.7116429563225807
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_00:38:57/rpe_eval/rpe_results.zip,29.35621315942935,3.372819150482001,3.5322164653643764,1.2254405000149882,3.6935022193953126,13969.365652150374,1.5053403677640387
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_00:41:05/rpe_eval/rpe_results.zip,29.197796697438392,3.131563781741528,3.2160960206573797,1.311351153543551,3.4123043065616674,12377.381383455799,1.3554073046372466
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_00:43:13/rpe_eval/rpe_results.zip,29.287566237364103,3.3440742743624043,3.5016344842765443,1.1838228594484022,3.656542799171507,13811.52531516471,1.479010645573778
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_00:45:21/rpe_eval/rpe_results.zip,28.929045779939727,3.11590524079572,3.206006911138697,1.3098020182015349,3.389857580325036,12249.549286269657,1.3350164588007423
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_00:53:31/rpe_eval/rpe_results.zip,7.788960389369168,1.8900872743329056,1.6557047555265634,0.38450322690250643,2.1305433821268185,17380.65462986326,0.9832523574999401
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_01:01:45/rpe_eval/rpe_results.zip,15.179008569292431,1.5966493610352626,1.6039249762685506,0.5195079559524245,1.7152258220458836,13027.174320074262,0.6266661300235274
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_01:09:58/rpe_eval/rpe_results.zip,10.31817263659215,1.8644470161250073,1.655631201507294,0.37078091292570714,2.087646393218578,16910.077756899922,0.9392043372882671
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_01:18:10/rpe_eval/rpe_results.zip,34.54620541193167,1.6509786941763056,1.6091066366881737,0.5101184270223192,2.0591427046008297,18745.34362504373,1.2305844259077554
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_01:18:46/rpe_eval/rpe_results.zip,7.625533576955692,2.6108493083445388,2.2360858722757513,1.3531419104822262,2.8258204148465422,1644.963769494478,1.0810767345939565
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_01:19:21/rpe_eval/rpe_results.zip,6.737998213269511,2.2676460201293978,2.13887238457917,1.3480677284501141,2.3812909426837896,1298.5551607990978,0.7268618033018054
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_01:19:55/rpe_eval/rpe_results.zip,7.534237945950526,2.593881460361422,2.222219313785916,1.355434454066386,2.8103155689940986,1634.8598346474391,1.081504769718525
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_01:20:30/rpe_eval/rpe_results.zip,7.343291150782978,2.333304305011272,1.9979383811970388,1.401057740338801,2.5101621768036075,1373.599285540483,0.9255296721722602
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_01:25:24/rpe_eval/rpe_results.zip,9.347738244823327,1.2978628953221325,1.1956863174486163,0.0007762873940986926,1.504630606209349,5503.573137835991,0.7612260939352802
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_01:30:19/rpe_eval/rpe_results.zip,6.695482164680795,1.1983842968222371,1.2072014790000405,0.0015758745725747189,1.320078668007307,4506.383485636468,0.5536088572790525
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_01:35:13/rpe_eval/rpe_results.zip,9.235238636725752,1.293653751410782,1.1965192894388834,0.0017569477460395771,1.4860660554457896,5401.727617528519,0.7313359642524214
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_01:40:08/rpe_eval/rpe_results.zip,7.510226763220489,1.2058865542119859,1.2072836041705306,0.0011348660270642111,1.3371506097405823,4600.451320802489,0.5777623832514142
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_01:42:10/rpe_eval/rpe_results.zip,7.867155327817918,1.7497144828817492,1.7202325041428475,0.45410253229370123,1.9009825861009066,3566.756240354325,0.7431244990260674
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_01:44:10/rpe_eval/rpe_results.zip,6.003716760846106,1.7089755373666955,1.6970270436811585,0.6236760265313146,1.8279905374924208,3368.281800403124,0.6488081518014734
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_01:46:11/rpe_eval/rpe_results.zip,6.6916292694075326,1.8051763014080384,1.7360856680731218,0.49473584977606583,1.9799655373360199,3743.85167023159,0.8133892363887719
