,max,mean,median,min,rmse,sse,std
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_00:12:48/ape_eval/ape_results.zip,41.68931394487742,16.141958337432026,15.292488323263505,2.26601479892217,17.413352838683277,1149222.208350175,6.531618338290109
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_00:20:49/ape_eval/ape_results.zip,270.36131130297787,52.66024758802783,33.60920364972294,6.665164973841149,78.99011822688291,25569220.110182457,58.87560701567795
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_00:28:48/ape_eval/ape_results.zip,41.16009141677916,15.968387592989238,14.82287776245401,2.4903370345166467,17.43537176125308,1150914.425483442,7.000199006683222
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_00:36:47/ape_eval/ape_results.zip,55.709538686913774,16.98823516331948,15.416495602222334,2.729362194170578,19.06311483756894,1487042.4051939156,8.648827281550753
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_00:38:57/ape_eval/ape_results.zip,77.09530213331075,35.50041966812206,33.01289046862915,6.689363740162306,39.36630522124336,1588448.6364413947,17.01253038672684
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_00:41:05/ape_eval/ape_results.zip,226.28452618378287,150.37952005446863,161.137174989134,23.966663008034555,157.04570134005752,26241806.85719154,45.26977200713762
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_00:43:13/ape_eval/ape_results.zip,74.22528464997379,35.28739701538139,33.31449011343409,5.731898901289915,38.93168169449495,1567208.8181065633,16.446137888280205
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_00:45:21/ape_eval/ape_results.zip,234.87530047870848,159.9898657985101,174.11568387770149,24.047458817449662,167.16670050679508,29817001.04413653,48.455635380245006
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_00:53:31/ape_eval/ape_results.zip,74.14812261448523,20.71025847760887,18.704597292462523,0.5963376395503188,23.70293932456706,2151806.3439503317,11.52885624920084
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_01:01:45/ape_eval/ape_results.zip,93.00622324035443,22.757882680442073,18.14471500876193,4.7078210419749285,27.33885401587798,3310291.906394689,15.148983952883526
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_01:09:58/ape_eval/ape_results.zip,82.7570581652086,24.30191282352995,22.242876550082325,1.8905222837408129,27.579115288840157,2951918.0960468464,13.039349417539487
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_01:18:10/ape_eval/ape_results.zip,306.3620521075944,27.444179980698806,20.766669065471213,4.070840702214128,46.53305601840973,9575068.48726789,37.578481709609676
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_01:18:46/ape_eval/ape_results.zip,2.6300870435452834,1.0160300757292489,0.9641794635217295,0.0852885811420514,1.1230170024688526,261.0616078816643,0.4783827683432418
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_01:19:21/ape_eval/ape_results.zip,24.18634383279534,9.362879213880015,6.05632478032976,0.46243210309483296,11.555940764203523,30714.146397529563,6.773201589505087
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_01:19:55/ape_eval/ape_results.zip,2.5535662050101116,0.8328995451451429,0.7731321864453284,0.09479761727013672,0.9575092338802647,190.69937805692203,0.47233704138357124
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_01:20:30/ape_eval/ape_results.zip,26.152626389257946,11.656364481658414,5.94575236933448,0.12627482524959882,15.513103128366533,52703.74473902248,10.236480632623094
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_01:25:24/ape_eval/ape_results.zip,21.1042315550256,11.594344119008221,12.732498188730954,1.2738143962721455,12.420614119927537,375188.66524246056,4.454530229571103
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_01:30:19/ape_eval/ape_results.zip,20.697316139366706,12.532034581666762,13.536148378470262,1.313781355704483,13.239603912357097,453467.7581130342,4.270271771211957
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_01:35:13/ape_eval/ape_results.zip,22.630598519044312,13.736030949475293,15.125515534424201,1.0061502061798715,14.680079353385993,527340.0738737237,5.179399924389567
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_01:40:08/ape_eval/ape_results.zip,54.85859852460448,14.866030623350149,13.976860364390273,2.047745010339512,16.88884877836826,734190.2904128133,8.01463327696324
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_01:42:10/ape_eval/ape_results.zip,30.659413886640085,18.9368017770881,17.938555735887977,3.267853760337378,20.13325071867474,400483.61108700477,6.837055137724861
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_01:44:10/ape_eval/ape_results.zip,33.32349066707701,20.11013302241201,19.33245191289947,4.092968632934918,21.45803513537268,464591.2973177264,7.4853070539412325
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_01:46:11/ape_eval/ape_results.zip,31.54129966347856,20.063518388390033,19.671953485328245,4.135582551156927,21.272904347439557,432624.855162799,7.070480128962084
/home/dongwonshin/Desktop/SLAM_eval/Experiment_Results/2018-11-08_01:48:12/ape_eval/ape_results.zip,32.44227220847701,19.814230561852664,19.23819065076689,4.394049155576361,21.154628978019527,449308.4005064542,7.410438208325301
